;TAL;MATRIX LEDCONVERTERS v10.8.2 (2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOESTEL;TOESTEL;TOESTEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930608;POWERLED CONVERTER REMOTE 350mA 19W IP20 CASAMBI;;YES;INDOOR;CASAMBI;YES;147*44*30;90%;20;2;198 - 264;10 - 54 ;;;;;;;;;;;;;4-16;1-4;1-2;1-3;1-3;1;1;1;1;1;1-4;1-4;1;1-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500mA;930620;POWERLED CONVERTER 6,5W 500mA IP20 MAINS DIM RC;dimlist O;NO;INDOOR;MAINS DIM RC;YES;dia43*25;72%;20;2;220 - 240;9 - 13;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500mA;930596;POWERLED CONVERTER 500mA 12W IP65 MAINS DIM LC;dimlist M;NO;IN&OUTDOOR;MAINS DIM LC;YES;dia56*25;82%;65;2;220 - 240;12 - 24;;;;;;;;;;;;;;;;;;;;;;;2;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500mA;930559;POWERLED CONVERTER REMOTE 500mA 16W IP20 MAINS DIM LC;dimlist J;YES;INDOOR;MAINS DIM LC 10%;YES;109*53*33;84%;20;2;198 - 264;18 - 36;;;;;;;;;;;;;;;;;;;;;;;2-3;2-3;1;2-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500mA;930602;POWERLED CONVERTER REMOTE 500mA 21W IP20 MAINS DIM LC;dimlist V;YES;INDOOR;MAINS DIM LC;YES;110*52*22;89%;20;2;220 - 240;16 - 42;;;;;;;;;;;;;;;;;;;;;;1;2-3;2-3;1;2-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500mA;930553;POWERLED CONVERTER REMOTE 500mA 22W IP20 1-10V;;YES;INDOOR;1-10V;YES;110*52*23,5;88%;20;2;220 - 240;6 - 42;;;;;;;;;;;;;;;;;;;;;;1;1-3;1-3;1;1-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500mA;930585;POWERLED CONVERTER REMOTE 500mA 35W IP20 DALI/TOUCHDIM;;YES;INDOOR;DALI/TOUCHDIM;YES;138*67*29,5;86%;20;2;198 - 264;30 - 54;;;;;;;;;;;;;;;;;;;;;;1;3-4;3-4;1;4-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500mA;930556;POWERLED CONVERTER REMOTE 500mA 2x 20W IP20 1-10V;;YES;INDOOR;1-10V;NO;124*79*22;89%;20;2;110 - 240;1 - 100;;;;;;;;;;;;;;;;;;;;;;1-2;1-8;1-8;1-2;1-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500mA;930557;POWERLED CONVERTER REMOTE 500mA 2x 20W IP20 DALI/TOUCHDIM/1-10V;;YES;INDOOR;DALI/TOUCHDIM/1-10V;NO;124*79*22;89%;20;2;110 - 240;2 - 100;;;;;;;;;;;;;;;;;;;;;;1-2;1-8;1-8;1-2;1-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
